Present         Present Cont    Past            Past Part      
abandon         abandoning      abandoned       abandoned      
abase           abasing         abased          abased         
abate           abating         abated          abated         
abbreviate      abbreviating    abbreviated     abbreviated    
abdicate        abdicating      abdicated       abdicated      
abduct          abducting       abducted        abducted       
abet            abetting        abetted         abetted        
abhor           abhorring       abhorred        abhorred       
abide           abiding         abode           abode          
abjure          abjuring        abjured         abjured        
abnegate        abnegating      abnegated       abnegated      
abolish         abolishing      abolished       abolished      
abominate       abominating     abominated      abominated     
abort           aborting        aborted         aborted        
abound          abounding       abounded        abounded       
abrade          abrading        abraded         abraded        
abridge         abridging       abridged        abridged       
abrogate        abrogating      abrogated       abrogated      
abscond         absconding      absconded       absconded      
abseil          abseiling       abseiled        abseiled       
absent          absenting       absented        absented       
absolve         absolving       absolved        absolved       
absorb          absorbing       absorbed        absorbed       
abstain         abstaining      abstained       abstained      
abstract        abstracting     abstracted      abstracted     
abuse           abusing         abused          abused         
abut            abutting        abutted         abutted        
accede          acceding        acceded         acceded        
accelerate      accelerating    accelerated     accelerated    
accent          accenting       accented        accented       
accentuate      accentuating    accentuated     accentuated    
accept          accepting       accepted        accepted       
access          accessing       accessed        accessed       
accessorise     accessorising   accessorised    accessorised   
accessorize     accessorizing   accessorized    accessorized   
acclaim         acclaiming      acclaimed       acclaimed      
acclimate       acclimating     acclimated      acclimated     
acclimatise     acclimatising   acclimatised    acclimatised   
acclimatize     acclimatizing   acclimatized    acclimatized   
accommodate     accommodating   accommodated    accommodated   
accompany       accompanying    accompanied     accompanied    
accomplish      accomplishing   accomplished    accomplished   
accord          according       accorded        accorded       
accost          accosting       accosted        accosted       
account         accounting      accounted       accounted      
accouter        accoutering     accoutered      accoutered     
accoutre        accoutring      accoutred       accoutred      
accredit        accrediting     accredited      accredited     
accrue          accruing        accrued         accrued        
acculturate     acculturating   acculturated    acculturated   
accumulate      accumulating    accumulated     accumulated    
accuse          accusing        accused         accused        
accustom        accustoming     accustomed      accustomed     
ace             acing           aced            aced           
ache            aching          ached           ached          
achieve         achieving       achieved        achieved       
acidify         acidifying      acidified       acidified      
acknowledge     acknowledging   acknowledged    acknowledged   
acquaint        acquainting     acquainted      acquainted     
acquiesce       acquiescing     acquiesced      acquiesced     
acquire         acquiring       acquired        acquired       
acquit          acquitting      acquitted       acquitted      
act             acting          acted           acted          
action          actioning       actioned        actioned       
activate        activating      activated       activated      
actualise       actualising     actualised      actualised     
actualize       actualizing     actualized      actualized     
actuate         actuating       actuated        actuated       
adapt           adapting        adapted         adapted        
add             adding          added           added          
addle           addling         addled          addled         
address         addressing      addressed       addressed      
adduce          adducing        adduced         adduced        
adhere          adhering        adhered         adhered        
adjoin          adjoining       adjoined        adjoined       
adjourn         adjourning      adjourned       adjourned      
adjudge         adjudging       adjudged        adjudged       
adjudicate      adjudicating    adjudicated     adjudicated    
adjure          adjuring        adjured         adjured        
adjust          adjusting       adjusted        adjusted       
administer      administering   administered    administered   
admire          admiring        admired         admired        
admit           admitting       admitted        admitted       
admonish        admonishing     admonished      admonished     
adopt           adopting        adopted         adopted        
adore           adoring         adored          adored         
adorn           adorning        adorned         adorned        
adsorb          adsorbing       adsorbed        adsorbed       
adulterate      adulterating    adulterated     adulterated    
adumbrate       adumbrating     adumbrated      adumbrated     
advance         advancing       advanced        advanced       
advantage       advantaging     advantaged      advantaged     
advertise       advertising     advertised      advertised     
advise          advising        advised         advised        
advocate        advocating      advocated       advocated      
aerate          aerating        aerated         aerated        
affect          affecting       affected        affected       
affiliate       affiliating     affiliated      affiliated     
affirm          affirming       affirmed        affirmed       
affix           affixing        affixed         affixed        
afflict         afflicting      afflicted       afflicted      
afford          affording       afforded        afforded       
afforest        None            None            None           
affront         affronting      affronted       affronted      
age             aging           aged            aged           
agglomerate     agglomerating   agglomerated    agglomerated   
aggravate       aggravating     aggravated      aggravated     
aggregate       aggregating     aggregated      aggregated     
agitate         agitating       agitated        agitated       
agonise         agonising       agonised        agonised       
agonize         agonizing       agonized        agonized       
agree           agreeing        agreed          agreed         
aid             aiding          aided           aided          
ail             ailing          ailed           ailed          
aim             aiming          aimed           aimed          
air             airing          aired           aired          
airbrush        airbrushing     airbrushed      airbrushed     
airdrop         airdropping     airdropped      airdropped     
airfreight      airfreighting   airfreighted    airfreighted   
airlift         airlifting      airlifted       airlifted      
alarm           alarming        alarmed         alarmed        
alert           alerting        alerted         alerted        
alienate        alienating      alienated       alienated      
alight          alighting       alighted        alighted       
align           aligning        aligned         aligned        
allay           allaying        allayed         allayed        
allege          alleging        alleged         alleged        
alleviate       alleviating     alleviated      alleviated     
allocate        allocating      allocated       allocated      
allot           allotting       allotted        allotted       
allow           allowing        allowed         allowed        
alloy           alloying        alloyed         alloyed        
allude          alluding        alluded         alluded        
ally            allying         allied          allied         
alphabetise     alphabetising   alphabetised    alphabetised   
alphabetize     alphabetizing   alphabetized    alphabetized   
alter           altering        altered         altered        
alternate       alternating     alternated      alternated     
amalgamate      amalgamating    amalgamated     amalgamated    
amass           amassing        amassed         amassed        
amaze           amazing         amazed          amazed         
amble           ambling         ambled          ambled         
ambush          ambushing       ambushed        ambushed       
ameliorate      ameliorating    ameliorated     ameliorated    
amend           amending        amended         amended        
amortise        amortising      amortised       amortised      
amortize        amortizing      amortized       amortized      
amount          amounting       amounted        amounted       
amplify         amplifying      amplified       amplified      
amputate        amputating      amputated       amputated      
amuse           amusing         amused          amused         
anaesthetise    anaesthetising  anaesthetised   anaesthetised  
anaesthetize    anaesthetizing  anaesthetized   anaesthetized  
analyse         analysing       analysed        analysed       
anchor          anchoring       anchored        anchored       
anesthetize     anesthetizing   anesthetized    anesthetized   
anger           angering        angered         angered        
angle           angling         angled          angled         
anglicise       anglicising     anglicised      anglicised     
anglicize       anglicizing     anglicized      anglicized     
animate         animating       animated        animated       
anneal          annealing       annealed        annealed       
annex           annexing        annexed         annexed        
annihilate      annihilating    annihilated     annihilated    
annotate        annotating      annotated       annotated      
announce        announcing      announced       announced      
annoy           annoying        annoyed         annoyed        
annul           annulling       annulled        annulled       
anodise         anodising       anodised        anodised       
anodize         anodizing       anodized        anodized       
anoint          anointing       anointed        anointed       
anonymise       anonymising     anonymised      anonymised     
anonymize       anonymizing     anonymized      anonymized     
answer          answering       answered        answered       
antagonise      antagonising    antagonised     antagonised    
antagonize      antagonizing    antagonized     antagonized    
antedate        antedating      antedated       antedated      
anthologise     anthologising   anthologised    anthologised   
anthologize     anthologizing   anthologized    anthologized   
anticipate      anticipating    anticipated     anticipated    
ape             aping           aped            aped           
apologise       apologising     apologised      apologised     
apologize       apologizing     apologized      apologized     
apostrophise    apostrophising  apostrophised   apostrophised  
apostrophize    apostrophizing  apostrophized   apostrophized  
appal           appalling       appalled        appalled       
appall          appalling       appalled        appalled       
appeal          appealing       appealed        appealed       
appear          appearing       appeared        appeared       
appease         appeasing       appeased        appeased       
append          appending       appended        appended       
appertain       appertaining    appertained     appertained    
applaud         applauding      applauded       applauded      
apply           applying        applied         applied        
appoint         appointing      appointed       appointed      
apportion       apportioning    apportioned     apportioned    
appraise        appraising      appraised       appraised      
appreciate      appreciating    appreciated     appreciated    
apprehend       apprehending    apprehended     apprehended    
apprentice      apprenticing    apprenticed     apprenticed    
apprise         apprising       apprised        apprised       
approach        approaching     approached      approached     
appropriate     appropriating   appropriated    appropriated   
approve         approving       approved        approved       
approximate     approximating   approximated    approximated   
aquaplane       aquaplaning     aquaplaned      aquaplaned     
arbitrate       arbitrating     arbitrated      arbitrated     
arc             arcing          arced           arced          
arch            arching         arched          arched         
archive         archiving       archived        archived       
argue           arguing         argued          argued         
arise           arising         arose           arisen         
arm             arming          armed           armed          
arouse          arousing        aroused         aroused        
arraign         arraigning      arraigned       arraigned      
arrange         arranging       arranged        arranged       
array           arraying        arrayed         arrayed        
arrest          arresting       arrested        arrested       
arrive          arriving        arrived         arrived        
arrogate        arrogating      arrogated       arrogated      
arse            None            None            None           
art             arting          arted           arted          
articulate      articulating    articulated     articulated    
ascend          ascending       ascended        ascended       
